Date,Close
9/14/2020 16:00:00,18.73
9/15/2020 16:00:00,19.19
9/16/2020 16:00:00,19.01
9/17/2020 16:00:00,19.3
9/18/2020 16:00:00,19.41
9/21/2020 16:00:00,18.81
9/22/2020 16:00:00,19.23
9/23/2020 16:00:00,17.96
9/24/2020 16:00:00,17.85
9/25/2020 16:00:00,18.32
9/28/2020 16:00:00,18.81
9/29/2020 16:00:00,20.85
9/30/2020 16:00:00,21.22
10/1/2020 16:00:00,21.76
10/2/2020 16:00:00,21.18
10/5/2020 16:00:00,21.59
10/6/2020 16:00:00,20.67
10/7/2020 16:00:00,21.56
10/8/2020 16:00:00,21.44
10/9/2020 16:00:00,21.47
