Date,Close
9/14/2020 16:00:00,22.57
9/15/2020 16:00:00,22.43
9/16/2020 16:00:00,22.39
9/17/2020 16:00:00,22.61
9/18/2020 16:00:00,22.65
9/21/2020 16:00:00,21.93
9/22/2020 16:00:00,22.04
9/23/2020 16:00:00,21.39
9/24/2020 16:00:00,21.53
9/25/2020 16:00:00,21.57
9/28/2020 16:00:00,21.99
9/29/2020 16:00:00,21.78
9/30/2020 16:00:00,21.43
10/1/2020 16:00:00,21.48
10/2/2020 16:00:00,21.4
10/5/2020 16:00:00,21.48
10/6/2020 16:00:00,21.73
10/7/2020 16:00:00,22.02
10/8/2020 16:00:00,22.32
10/9/2020 16:00:00,22.23
